                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.86974,                0.53146,                0.89188,                0.82671,                0.71053,                0.79493,                0.45263,                 1.4864,                0.99449,                 1.1197,              0.0013268,              0.0013268,              0.0013268
                     53,                0.88106,                0.55018,                0.90241,                0.82655,                0.70677,                0.78037,                0.43788,                 1.5502,                0.96782,                  1.151,              0.0013136,              0.0013136,              0.0013136
                     54,                0.87781,                0.54437,                0.89295,                0.88193,                0.65414,                0.77559,                 0.4446,                 1.5338,                0.95607,                 1.1451,              0.0013004,              0.0013004,              0.0013004
                     55,                0.89682,                0.54575,                0.89931,                0.82804,                0.66165,                0.74351,                0.42499,                  1.475,                 1.0456,                 1.1303,              0.0012872,              0.0012872,              0.0012872
                     56,                0.85895,                0.52587,                0.88594,                0.84348,                0.64828,                0.77202,                0.43644,                 1.5136,                0.97158,                 1.1386,               0.001274,               0.001274,               0.001274
                     57,                0.86368,                0.53673,                0.89056,                0.77637,                0.69172,                 0.7708,                 0.4335,                 1.5455,                 1.0835,                 1.1649,              0.0012608,              0.0012608,              0.0012608
                     58,                0.86864,                0.53032,                0.88808,                0.77706,                0.70757,                0.77164,                0.43666,                 1.5155,                   1.01,                 1.1451,              0.0012476,              0.0012476,              0.0012476
                     59,                0.84941,                0.52392,                0.89947,                0.83309,                0.64662,                0.76411,                0.42546,                 1.4887,                0.98629,                 1.1176,              0.0012344,              0.0012344,              0.0012344
                     60,                0.87453,                0.54424,                 0.8829,                0.78826,                 0.6858,                0.77193,                0.42284,                 1.5374,                 1.0139,                 1.1272,              0.0012212,              0.0012212,              0.0012212
                     61,                0.83452,                0.52281,                0.88339,                0.79987,                0.69173,                0.77975,                0.44808,                 1.4923,                 1.0012,                 1.1327,               0.001208,               0.001208,               0.001208
                     62,                 0.8325,                 0.5128,                0.88434,                0.86858,                0.64604,                0.77989,                 0.4451,                 1.4925,                 1.0255,                 1.1377,              0.0011948,              0.0011948,              0.0011948
                     63,                0.82829,                0.51516,                0.87796,                0.77001,                0.70486,                0.77537,                 0.4278,                 1.5031,                 1.0262,                 1.1515,              0.0011816,              0.0011816,              0.0011816
                     64,                0.82939,                0.51357,                0.87851,                0.89145,                0.61654,                0.76035,                0.42749,                 1.5097,                0.99679,                  1.153,              0.0011684,              0.0011684,              0.0011684
                     65,                0.84362,                0.50869,                 0.8832,                  0.844,                0.66541,                0.76566,                0.42812,                 1.5253,                 1.0561,                 1.1468,              0.0011552,              0.0011552,              0.0011552
                     66,                0.85447,                0.51745,                0.88451,                0.88426,                0.63187,                0.76886,                0.44352,                 1.5181,                 1.0139,                  1.157,               0.001142,               0.001142,               0.001142
                     67,                0.84358,                0.51049,                0.87538,                0.84679,                0.67293,                0.78169,                 0.4485,                 1.4814,                0.99248,                 1.1469,              0.0011288,              0.0011288,              0.0011288
                     68,                0.83112,                0.51888,                0.87569,                0.85171,                0.69173,                 0.7758,                0.43609,                 1.4961,                 1.0136,                 1.1553,              0.0011156,              0.0011156,              0.0011156
                     69,                 0.8348,                0.51074,                 0.8729,                0.85987,                0.66896,                0.77196,                0.43978,                 1.5062,                 1.0072,                 1.1607,              0.0011024,              0.0011024,              0.0011024
                     70,                0.82474,                 0.5142,                0.88773,                0.82815,                0.70677,                 0.7894,                0.45517,                 1.4991,                0.98706,                 1.1617,              0.0010892,              0.0010892,              0.0010892
                     71,                0.83942,                0.49822,                0.87913,                0.80219,                0.73308,                0.78023,                0.44141,                 1.4915,                 0.9228,                 1.1458,               0.001076,               0.001076,               0.001076
                     72,                0.84582,                0.52071,                0.89901,                0.88424,                0.68045,                0.77526,                 0.4308,                 1.5145,                0.96316,                 1.1417,              0.0010628,              0.0010628,              0.0010628
                     73,                0.81741,                0.50723,                0.87432,                0.81894,                0.71805,                0.79074,                0.44441,                 1.5176,                0.94582,                 1.1471,              0.0010496,              0.0010496,              0.0010496
                     74,                0.79016,                0.49094,                0.86624,                0.87793,                0.66165,                0.79076,                0.43728,                 1.5113,                0.95197,                 1.1474,              0.0010364,              0.0010364,              0.0010364
                     75,                0.79721,                0.49011,                0.87041,                0.85879,                0.68592,                0.78991,                0.44227,                 1.5193,                 1.0287,                 1.1507,              0.0010232,              0.0010232,              0.0010232
                     76,                0.78948,                0.48919,                0.87985,                0.84584,                0.70134,                0.79049,                0.45056,                 1.4895,                 1.0246,                 1.1389,                0.00101,                0.00101,                0.00101
                     77,                0.76917,                0.46944,                  0.867,                  0.875,                0.68422,                0.79366,                0.45202,                 1.5025,                 1.0141,                 1.1496,              0.0009968,              0.0009968,              0.0009968
                     78,                0.83537,                0.51026,                0.88099,                0.84849,                0.66541,                 0.7786,                0.44815,                 1.4929,                 1.0099,                 1.1593,              0.0009836,              0.0009836,              0.0009836
                     79,                0.79695,                0.48605,                0.87845,                0.90365,                 0.6391,                0.76648,                0.44719,                 1.4952,                 1.0479,                 1.1483,              0.0009704,              0.0009704,              0.0009704
                     80,                0.81651,                0.49224,                0.88529,                0.88114,                0.66541,                0.79108,                0.45466,                 1.4931,                 1.0336,                 1.1381,              0.0009572,              0.0009572,              0.0009572
                     81,                0.80256,                0.50824,                0.86962,                0.86924,                0.65789,                0.80304,                0.46351,                 1.4688,                0.93875,                 1.1357,               0.000944,               0.000944,               0.000944
                     82,                0.81464,                0.49392,                0.87713,                0.88948,                0.65789,                0.80249,                0.46436,                 1.4567,                0.98652,                 1.1221,              0.0009308,              0.0009308,              0.0009308
                     83,                0.81776,                 0.4901,                0.87819,                 0.8192,                0.73308,                0.82241,                0.46076,                 1.4764,                0.97548,                 1.1315,              0.0009176,              0.0009176,              0.0009176
                     84,                0.80639,                 0.4864,                0.87633,                0.90261,                0.66198,                0.81058,                0.47108,                 1.4709,                 0.9881,                 1.1256,              0.0009044,              0.0009044,              0.0009044
                     85,                0.80474,                0.48566,                0.87393,                0.89153,                0.64888,                0.79858,                0.47641,                  1.475,                0.99504,                 1.1416,              0.0008912,              0.0008912,              0.0008912
                     86,                0.78158,                0.47845,                0.87212,                0.88344,                0.68382,                  0.811,                0.47439,                 1.4896,                0.94151,                 1.1402,               0.000878,               0.000878,               0.000878
                     87,                 0.7733,                0.47384,                0.87229,                0.84788,                0.68797,                0.80255,                0.46868,                 1.4783,                0.95354,                 1.1288,              0.0008648,              0.0008648,              0.0008648
                     88,                0.78169,                0.48202,                0.87256,                0.81836,                0.69443,                0.79421,                  0.455,                 1.5152,                0.99209,                 1.1536,              0.0008516,              0.0008516,              0.0008516
                     89,                0.78854,                0.48329,                0.86437,                0.76625,                0.71429,                0.78666,                0.44832,                 1.4859,                 1.0162,                 1.1439,              0.0008384,              0.0008384,              0.0008384
                     90,                0.78252,                0.47931,                0.86548,                0.85538,                0.68797,                0.80257,                0.45209,                 1.5025,                  1.053,                  1.139,              0.0008252,              0.0008252,              0.0008252
                     91,                0.77527,                0.47189,                0.86561,                0.85449,                0.68045,                0.79916,                0.45098,                  1.491,                0.99309,                 1.1418,               0.000812,               0.000812,               0.000812
                     92,                0.75874,                0.48321,                 0.8652,                0.76364,                0.72932,                0.79534,                0.45489,                 1.5072,                0.96554,                 1.1721,              0.0007988,              0.0007988,              0.0007988
                     93,                 0.7912,                0.47801,                0.86507,                0.87051,                0.66165,                0.79907,                0.44922,                 1.5003,                0.97033,                 1.1525,              0.0007856,              0.0007856,              0.0007856
                     94,                0.77608,                0.46918,                 0.8644,                0.80975,                0.68804,                0.78656,                0.44889,                 1.5313,                 1.0054,                 1.1572,              0.0007724,              0.0007724,              0.0007724
                     95,                0.76106,                0.46659,                0.87335,                0.85104,                0.67669,                0.79709,                0.44649,                 1.5316,                 1.0061,                 1.1633,              0.0007592,              0.0007592,              0.0007592
                     96,                0.76972,                0.46372,                0.86393,                0.75527,                0.73308,                0.79664,                0.44724,                  1.521,                0.92907,                 1.1706,               0.000746,               0.000746,               0.000746
                     97,                0.74164,                0.44779,                0.86002,                0.82787,                0.69925,                0.80632,                0.45827,                 1.5143,                0.96235,                 1.1669,              0.0007328,              0.0007328,              0.0007328
                     98,                0.77364,                0.46051,                0.87536,                0.82099,                0.70691,                0.81012,                0.46198,                 1.5026,                0.93518,                 1.1616,              0.0007196,              0.0007196,              0.0007196
                     99,                0.77656,                0.47042,                0.86809,                0.84444,                0.69388,                0.80958,                0.45317,                 1.4967,                0.91696,                 1.1526,              0.0007064,              0.0007064,              0.0007064
                    100,                0.74522,                0.46123,                0.85216,                0.83485,                0.67293,                0.79462,                0.44959,                 1.4916,                0.92026,                 1.1544,              0.0006932,              0.0006932,              0.0006932
                    101,                0.76411,                0.47666,                0.85511,                 0.8863,                0.64662,                0.79354,                0.44496,                 1.4806,                0.94316,                 1.1507,                0.00068,                0.00068,                0.00068
                    102,                0.74902,                0.45372,                0.85716,                0.83746,                0.63918,                0.78878,                0.45451,                 1.4943,                0.94924,                 1.1508,              0.0006668,              0.0006668,              0.0006668
                    103,                0.74829,                0.46343,                0.85465,                0.87764,                0.67413,                 0.8017,                0.45881,                 1.5098,                 1.0183,                 1.1603,              0.0006536,              0.0006536,              0.0006536
                    104,                0.74621,                0.45894,                0.85658,                0.86878,                0.68797,                0.80199,                0.46346,                  1.465,                0.97437,                 1.1384,              0.0006404,              0.0006404,              0.0006404
                    105,                0.75605,                0.45287,                0.86322,                 0.8155,                0.72932,                0.80798,                0.46929,                 1.4668,                0.98708,                  1.137,              0.0006272,              0.0006272,              0.0006272
                    106,                0.73762,                0.45866,                0.84876,                0.76611,                0.76316,                0.80265,                0.47783,                 1.4614,                0.97408,                 1.1344,               0.000614,               0.000614,               0.000614
                    107,                0.73956,                0.45648,                0.86231,                0.82915,                0.69173,                0.79653,                 0.4719,                 1.4548,                0.95971,                 1.1424,              0.0006008,              0.0006008,              0.0006008
                    108,                0.74866,                0.45836,                 0.8608,                0.82708,                0.71924,                0.79902,                0.46447,                 1.4759,                 0.9476,                 1.1364,              0.0005876,              0.0005876,              0.0005876
                    109,                0.71822,                0.44148,                0.85799,                0.88367,                0.66917,                0.80128,                0.46553,                 1.4492,                0.93053,                 1.1246,              0.0005744,              0.0005744,              0.0005744
